package,avg_downloads,2021,2022,2023,2024,2025
semver,13596078097,5948102006,10113171406,13976578613,16558352576,21384185884
ansi-styles,13234069830,4466564792,9392132888,14135622519,18009805466,20166223485
supports-color,12580987114,5947496082,10460483543,14010061878,16183420830,16303473235
debug,12000607765,5994491887,9706166665,11725976788,13592255513,18984147972
chalk,11942068662,5118697781,9617116738,13033130790,15490045290,16451352710
ms,9905364996,4847731788,8292321479,10374149336,11672731532,14339890844
tslib,9293397241,3205547007,6587973684,11156680193,12308407203,13208378117
has-flag,8989739585,3518528819,7371375995,10548404874,12398164703,11112223533
color-convert,8487718032,3236575266,6833555616,9925539822,11468264285,10974655171
color-name,8442877283,3202549085,6833064752,9872805787,11377436289,10928530503
strip-ansi,8055174764,4446643049,6290920929,7085685035,8909457732,13543167077
source-map,7847327207,4691807969,7758659675,8119198463,8324139173,10342830753
ansi-regex,7681148861,4462174584,6300372972,6950920701,8265538418,12426737631
minimatch,7061853919,1382313553,3232290344,5955360805,9766581495,14972723400
type-fest,7045036875,3407933901,5258588366,6972072916,8624743786,10961845408
lru-cache,6907666201,2542264666,3836494454,7234513547,9539451064,11385607273
readable-stream,6622597296,3744688099,5408400238,6921831659,7625443828,9412622658
string-width,6518495817,3861532398,4795300352,5408365300,7157220560,11370060477
commander,6484072250,3296082590,4785771765,6249363428,7562312237,10526831232
kind-of,6107198345,4687411064,7243188295,7299485838,5648151742,5657754785
glob,5942831837,2304266164,3600700416,5770962698,7717726256,10320503652
find-up,5849048189,3406425810,4891047331,5901780256,6535144193,8510843354
escape-string-regexp,5467926209,2337975435,4002844290,5585934145,6783972369,8628904805
p-locate,5442206168,2974937692,4450721005,5491941745,6205682256,8087748141
locate-path,5431976916,2931831616,4430418256,5483155212,6197214959,8117264536
yallist,5390134991,2507289225,3520412360,5952456329,7187337331,7783179711
wrap-ansi,5371093853,2590739873,3451156088,4358128935,6421498799,10033945571
safe-buffer,5259817950,2911571709,4375823265,5326125119,5981820675,7703748980
p-limit,5132425967,2706436709,3976283078,5064350669,5960729356,7954330021
brace-expansion,5100304690,1232598721,2311897629,4121747835,6818199260,11017080005
emoji-regex,4915740525,2291730680,3129432200,4055869712,5614354061,9487315970
uuid,4880973304,2660921297,3513474974,4613607215,5651795669,7965067365
string_decoder,4822027985,2836267689,4204672545,4947781945,5413763000,6707654748
ajv,4749148152,2500320894,3706770741,4659103353,5425688858,7453856916
is-fullwidth-code-point,4706890774,3019697029,4053789992,4478427568,4929268537,7053270744
yargs-parser,4424149530,2859799327,3838013637,4472975814,4813844727,6136114145
isarray,4404556182,2461718922,3393971833,4406969679,5090979894,6669140581
yargs,4361764208,2950835082,3796901226,4390960904,4691537869,5978585958
acorn,4335249640,2635637385,3849825628,4430658464,4771368210,5988758511
get-stream,4326187511,3030994795,3729202133,4076216509,4823749218,5970774899
glob-parent,4202080325,2196581281,3255910165,3981894859,4689798672,6886216650
fs-extra,4180330642,2364055841,3392995160,4319065420,4912060078,5913476709
camelcase,4053095471,2836277164,3685201057,4077108770,4226262224,5440628138
json-schema-traverse,4049056696,1797392941,3021909408,4048922097,4806755631,6570303405
react-is,4020302626,1283003022,2445238655,3985359585,4991703612,7396208255
rimraf,4011567717,2636874817,3434465572,4178880574,4566015865,5241601759
which,3977998056,2011168153,2858963296,3711343545,4666429689,6642085598
path-exists,3976523916,2506670622,3494185393,3968005291,4284620254,5629138021
estraverse,3928480632,2094786484,3284188639,4125522347,4485779667,5652126022
resolve-from,3884918763,2359454888,3220309641,3751914612,4239484705,5853429968
punycode,3872009650,2764092690,3482477093,3890980017,4074536363,5147962085
inherits,3869152891,2988235897,3574265739,3851880882,3893468776,5037913162
schema-utils,3832204059,2329955006,3781872756,4418885875,4108024892,4522281768
cliui,3830480299,2415327355,3043073346,3827313881,4289034970,5577651943
globals,3776722458,1958867360,2791365508,3496065777,4326497925,6310815721
qs,3660152091,2724413314,3459831079,3607298597,3796166987,4713050477
resolve,3637338756,2197216209,2979113967,3551199050,3926833444,5532331111
js-yaml,3636471786,1560122821,2563768575,3530699030,4383888935,6143879570
mkdirp,3618132863,2305456706,3149089625,3675571154,3938168799,5022378033
ws,3615427870,2147213116,3022012832,3560558389,3954354983,5393000029
postcss,3601232289,2397326651,3446883588,3564018264,3651730304,4946202636
minipass,3597497870,916517586,1175723838,2997636177,5421852808,7475758942
is-number,3584882786,2436282874,3407954947,3690145615,3680309465,4709721030
json5,3569089794,2252966996,3202210178,3699237538,3763613026,4927421234
execa,3549894962,2248771579,2954827652,3564430856,4141912607,4839532116
cross-spawn,3548636609,2520901639,3016891310,3362794282,3682747480,5159848333
pify,3526061018,2880184529,3300325397,3582334774,3571197989,4296262399
eslint-visitor-keys,3489107832,1450303495,2655132600,3367746650,3778773907,6193582509
